path,sha256,duration_s,sample_rate,channels,bitrate,size_bytes,source,drive_file_id,created_at
data/raw/2025/09/08/2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95__250728_0930.mp3,2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95,97.698,44100,2,128335,1567264,drive,1JEDSKYjWsO4IPe4rs_uQ1N1qPO7_oSHU,2025-09-08T05:08:03Z
data/raw/2025/09/08/ae10cc9c1980c0909042445a9505c4646571ccfd6dd4b2b9266b1d157d7a9016__250728_0928.mp3,ae10cc9c1980c0909042445a9505c4646571ccfd6dd4b2b9266b1d157d7a9016,145.240875,44100,2,128225,2327950,drive,19HVbR2WxQm8YSLh5-BqVlCR008af0AgB,2025-09-08T05:08:05Z
data/raw/2025/09/08/16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5__250728_0924.mp3,16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5,132.231875,44100,2,128247,2119806,drive,1tj2n78liTpDWYUotjaxIgAkdk8X9UCa2,2025-09-08T05:08:07Z
data/raw/2025/09/08/82e73a5bbebf08a111d71f3f8530350306a39f2177e2487b63644e2fe727e648__250728_0922.mp3,82e73a5bbebf08a111d71f3f8530350306a39f2177e2487b63644e2fe727e648,113.867813,44100,2,128287,1825981,drive,1l59zMWt6BrnBnrk278ARvTuSr2xnHb9S,2025-09-08T05:08:09Z
data/raw/2025/09/08/190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57__250728_0919.mp3,190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57,95.007375,44100,2,128344,1524214,drive,1UKGDJD7Z4Xnyux9xo1F_PWqWV3AIs4DD,2025-09-08T05:08:10Z
data/raw/2025/09/08/e7cf2e4a32d69175644e4e4cc81312bed19479683da713810de4c746ef135373__250728_0917.mp3,e7cf2e4a32d69175644e4e4cc81312bed19479683da713810de4c746ef135373,116.140438,44100,2,128282,1862343,drive,1bKB8j4CHNtIFi1G0exinou51751rOHDW,2025-09-08T05:08:12Z
data/raw/2025/09/08/5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f__250728_0914.mp3,5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f,179.043313,44100,2,128183,2868789,drive,16_ouIVaspbrproK1PozDRzfbKAOxV5wE,2025-09-08T05:08:14Z
data/raw/2025/09/08/1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb__250728_0911.mp3,1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb,163.735563,44100,2,128200,2623865,drive,1jysXrc7FyNNtQWqCHa-apr65mGzrK4cA,2025-09-08T05:08:16Z
data/raw/2025/09/08/68d77e1211ad8d7de70bb869c49a8e561b7ce00c6ee23a5d5fff8c6175c125f6__250728_0908.mp3,68d77e1211ad8d7de70bb869c49a8e561b7ce00c6ee23a5d5fff8c6175c125f6,133.407375,44100,2,128245,2138614,drive,1UTs8kyxiUalyNHIU49VAo-VRypUQkQmQ,2025-09-08T05:08:18Z
data/raw/2025/09/08/38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29__250728_0906.mp3,38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29,120.920875,44100,2,128270,1938830,drive,1mVMB0fjzS8UZbLbzRixufQKZQDf0a1oi,2025-09-08T05:08:20Z
data/raw/2025/09/08/7f72f6b93587d0ac73afa53fbd3fa8fbe3bdd720bab212cea69ef568b6aff45a__250714_1636.mp3,7f72f6b93587d0ac73afa53fbd3fa8fbe3bdd720bab212cea69ef568b6aff45a,64.5225,44100,2,128507,1036456,drive,1mzVarSnL7oPFN0jG3X-A7tvNEsoIWl8c,2025-09-08T05:08:22Z
data/raw/2025/09/08/c478f28aac2b1ddb78e25aa04116d86cdce826dd4c07b70e482313268f75fa6a__250714_1634_01.mp3,c478f28aac2b1ddb78e25aa04116d86cdce826dd4c07b70e482313268f75fa6a,83.7225,44100,2,128391,1343656,drive,142A2kV-7WRgvbA0hf61EKqts23IwiqtP,2025-09-08T05:08:24Z
data/raw/2025/09/08/a1c13511c80de1f73d24c0ca08aa0d91f996f83f8807d0c0f632690f6fa18b6f__250714_1634.mp3,a1c13511c80de1f73d24c0ca08aa0d91f996f83f8807d0c0f632690f6fa18b6f,26.644938,44100,2,129229,430415,drive,1Ae_BCx9lBUrgdey4RMTxD8YZ4P7Ijk4N,2025-09-08T05:08:25Z
data/raw/2025/09/08/4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd__250714_1632_01.mp3,4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd,79.124938,44100,2,128414,1270095,drive,13BjHCjjdZTGMElEQDq03slv1Dg-vP7b8,2025-09-08T05:08:26Z
data/raw/2025/09/08/26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef__250714_1632.mp3,26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef,32.653063,44100,2,129003,526545,drive,1xFdcSdCanfQQbpjkCYb9C6meeW_pfWg2,2025-09-08T05:08:28Z
data/raw/2025/09/08/c82dcad81d1d2580cb7c0bc3dced4fad16093990997dda3c443c76f9b231c19a__250714_1630.mp3,c82dcad81d1d2580cb7c0bc3dced4fad16093990997dda3c443c76f9b231c19a,53.498813,44100,2,128612,860077,drive,1UAfYUQEWtPaDOU9J1qCwG6pmLVN-IWUE,2025-09-08T05:08:29Z
data/raw/2025/09/08/df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.mp3,df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35,9.22125,44100,2,131553,151636,drive,1fCdRJRuIn7jAJ9oEMc4loYGSV0sa114y,2025-09-08T05:08:30Z
